Player,Matches Played,Innings Batted,Not Outs,Runs Scored,Highest Innings Score,Batting Average,Balls Faced,Batting Strike Rate,Hundreds Scored,Fifties Scored,Ducks Scored,Boundary Fours,Boundary Sixes
Rahmanullah Gurbaz (AFG),8,8,0,281,80,35.12,226,124.33,0,3,2,18,16
RG Sharma (IND),8,8,1,257,92,36.71,164,156.7,0,3,0,24,15
TM Head (AUS),7,7,1,255,76,42.5,161,158.38,0,2,1,26,15
Q de Kock (SA),9,9,0,243,74,27,173,140.46,0,2,1,21,13
Ibrahim Zadran (AFG),8,8,0,231,70,28.87,215,107.44,0,2,1,25,4
N Pooran (WI),7,7,1,228,98,38,156,146.15,0,1,0,15,17
AGS Gous (USA),6,6,1,219,80*,43.8,145,151.03,0,2,0,20,11
JC Buttler (ENG),8,7,2,214,83*,42.8,135,158.51,0,1,1,22,10
SA Yadav (IND),8,8,1,199,53,28.42,147,135.37,0,2,0,15,10
H Klaasen (SA),9,8,2,190,52,31.66,150,126.66,0,1,0,9,13
PD Salt (ENG),8,7,2,188,87*,37.6,118,159.32,0,1,0,16,10
DA Warner (AUS),7,7,1,178,56,29.66,128,139.06,0,2,0,17,9
RR Pant (IND),8,8,1,171,42,24.42,134,127.61,0,0,1,19,6
MP Stoinis (AUS),7,5,1,169,67*,42.25,103,164.07,0,2,0,14,10
DA Miller (SA),9,8,2,169,59*,28.16,165,102.42,0,1,1,10,8
T Stubbs (SA),9,8,3,165,33,33,163,101.22,0,0,1,13,3
Aaron Jones (USA),6,6,2,162,94*,40.5,120,135,0,1,1,8,14
Towhid Hridoy (BAN),7,7,0,153,40,21.85,119,128.57,0,0,0,9,8
V Kohli (IND),8,8,0,151,76,18.87,134,112.68,0,1,2,8,7
HC Brook (ENG),8,4,2,145,53,72.5,92,157.6,0,1,0,16,2
HH Pandya (IND),8,6,3,144,50*,48,95,151.57,0,1,0,11,9
B McMullen (SCOT),4,3,1,140,61*,70,82,170.73,0,2,0,13,8
J Charles (WI),6,6,0,140,44,23.33,123,113.82,0,0,2,18,3
Litton Das (BAN),7,7,1,139,54*,23.16,149,93.28,0,1,0,12,3
S Dube (IND),8,8,2,133,34,22.16,116,114.65,0,0,1,6,7
GJ Maxwell (AUS),7,6,1,132,59,26.4,93,141.93,0,1,1,12,7
MR Marsh (AUS),7,7,1,125,37,20.83,107,116.82,0,0,0,13,5
HG Munsey (SCOT),4,4,1,124,41*,41.33,89,139.32,0,0,0,8,9
AK Markram (SA),9,9,1,123,46,15.37,122,100.81,0,0,1,14,2
Babar Azam (PAK),4,4,1,122,44,40.66,120,101.66,0,0,0,8,3
SE Rutherford (WI),7,6,3,121,68*,40.33,82,147.56,0,1,1,5,9
RR Hendricks (SA),9,9,1,113,43,14.12,129,87.59,0,0,2,11,3
Najmul Hossain Shanto (BAN),7,7,0,112,41,16,117,95.72,0,0,0,7,5
