Match No.,Date of Match,Venue Stadium,Venue City,1st Team,2nd Team,Stage,Umpire 1,Umpire 2,Reserve Umpire,Match Referee,TV Umpire,Toss Winning,Toss Loser,Toss Decision,Match Result,First Innings Score,Fall of wickets First Innings,Second Innings Score,Fall of wickets Second Innings,Winners,Losers,Method,Won by,Winning Margin,Top Run Scorer,Highest Score,Best Bowler,Best Bowler Figure(Wickets Taken),Best Bowler Figure(Runs Recieved),Player Of The Match,Super Over Match
1st,02-06-2024,Grand Prairie Stadium,Dallas,Canada,United State Of America,Group A,Richard Illingworth,Sharfuddoula,Langton Rusere,Richie Richardson,Sam Nogajski,United State Of America,Canada,Fielding,Played,194,5,197,3,United State Of America,Canada,Normal Match,Wickets,7,Aaron Jones,94,Dilon Heyliger,1,19,Aaron Jones,No
2nd,02-06-2024,Providence Stadium,Providence,Papua New Guinea,West Indies,Group C,Adrian Holdstock,Rashid Riaz,Kumar Dharmasena,Andy Pycroft,Ahsan Raza,West Indies,Papua New Guinea,Fielding,Played,136,8,137,5,West Indies,Papua New Guinea,Normal Match,Wickets,5,Sese Bau,50,Andre Russell,2,19,Roston Chase,No
3rd,03-06-2024,Kensington Oval,Bridgetown,Oman,Namibia,Group B,Jayaraman Madanagopal,Joel Wilson,Asif Yaqoob,Ranjan Madugalle,Nitin Menon,Namibia,Oman,Fielding,Played,109,10,109,6,Namibia,Oman,Normal Match,Wickets,4,Jan Frylinck,45,Mehran Khan,3,7,David Wiese,Yes
4th,03-06-2024,Nassau County International Cricket Stadium,New York,Sri Lanka,South Africa,Group D,Chris Brown,Richard Kettleborough,Alex Wharf,Jeff Crowe,Paul Reiffel,Sri Lanka,South Africa,Batting,Played,77,10,80,4,South Africa,Sri Lanka,Normal Match,Wickets,6,Quinton de Kock,20,Anrich Nortje,4,7,Anrich Nortje,No
5th,04-06-2024,Providence Stadium,Providence,Afghanistan,Uganda,Group C,Ahsan Raza,Kumar Dharmasena,Rashid Riaz,Andy Pycroft,Adrian Holdstock,Uganda,Afghanistan,Fielding,Played,183,5,58,10,Afghanistan,Uganda,Normal Match,Runs,125,Rahmanullah Gurbaz,76,Fazalhaq Farooqi,5,9,Fazalhaq Farooqi,No
6th,05-06-2024,Kensington Oval,Bridgetown,Scotland,England,Group B,Asif Yaqoob,Nitin Menon,Jayaraman Madanagopal,Ranjan Madugalle,Joel Wilson,Scotland,England,Batting,Abandoned,90,0,0,0,No Result (Rain),No Result (Rain),No Result (Rain),No Result (Rain),0,No Result (Rain),0,No Result (Rain),0,0,No Result (Rain),No Result (Rain)
7th,05-06-2024,Grand Prairie Stadium,Dallas,Nepal,Netherlands,Group D,Langton Rusere,Rod Tucker,Richard Illingworth,Richie Richardson,Sharfuddoula,Netherlands,Nepal,Fielding,Played,106,10,109,4,Netherlands,Nepal,Normal Match,Wickets,6,Max O'Dowd,54,Tim Pringle,3,20,Tim Pringle,No
8th,05-06-2024,Nassau County International Cricket Stadium,New York,Ireland,India,Group A,Alex Wharf,Chris Gaffaney,Chris Brown,David Boon,Richard Kettleborough,India,Ireland,Fielding,Played,96,10,97,2,India,Ireland,Normal Match,Wickets,8,Rohit Sharma,52,Jasprit Bumrah,2,6,Jasprit Bumrah,No
9th,06-06-2024,Providence Stadium,Providence,Papua New Guinea,Uganda,Group C,Adrian Holdstock,Rashid Riaz,Kumar Dharmasena,Javagal Srinath,Ahsan Raza,Uganda,Papua New Guinea,Fielding,Played,77,10,78,8,Uganda,Papua New Guinea,Normal Match,Wickets,3,Riazat Ali Shah,33,Frank Nsubuga,2,4,Riazat Ali Shah,No
10th,06-06-2024,Kensington Oval,Bridgetown,Australia,Oman,Group B,Asif Yaqoob,Joel Wilson,Nitin Menon,Ranjan Madugalle,Jayaraman Madanagopal,Oman,Australia,Fielding,Played,164,5,125,9,Australia,Oman,Normal Match,Runs,39,Marcus Stoinis,67,Marcus Stoinis,3,19,Marcus Stoinis,No
